title,country,stance,reach,age,weightClass,trainingCenter,wins,loses,draws,tkos,tko wins,tko lose,subs,subs win,subs lose
Pete Spratt,USA,Orthodox,,47,Lightweight,,12,18,0,5 1,5,1,5 14,5,14
Jonny Carson,USA,,,,Lightweight,Skrap Pack,11,7,0,2 0,2,0,6 7,6,7
Sergio Quinones,USA,,,,Featherweight,,11,19,0,1 5,1,5,7 9,7,9
Alvin Cacdac,USA,Orthodox,,,Flyweight,,17,13,0,8 2,8,2,7 9,7,9
Vincent Latoel,NETHERLANDS,,,39,Featherweight,,16,18,2,7 3,7,3,7 14,7,14
Johnny Bedford,USA,Orthodox,"71.0""",35,Bantamweight,Fitness Fight Factory,23,13,1,10 2,10,2,9 11,9,11
Tony Llamas,USA,,,,Featherweight,Team Rampage,17,15,0,7 1,7,1,9 14,9,14
Joshua Burkman,USA,Orthodox,"72.0""",37,Welterweight,The Pit Elevated Fight Team,28,17,0,7 2,7,2,10 9,10,9
Marcus Hicks,CANADA,,,,Middleweight,Jungle MMA,19,24,0,8 7,8,7,11 15,11,15
Pedro Rizzo,BRAZIL,Orthodox,,44,Heavyweight,,13,11,0,10 7,10,7,0 - 0,0,0
Jayme Hinshaw,USA,,,,Atomweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Mai Ichii,JAPAN,,,38,Strawweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Sakura Nomura,,,,41,Strawweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Ye Hyun Nam,,,,,Strawweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Kyoko Takabayashi,JAPAN,,,37,Strawweight,,1,2,1,0 - 0,0,0,0 - 0,0,0
Yoon Ha Hong,SOUTH KOREA,,,,Atomweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Elena Pashnina,RUSSIA,,,,Atomweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Vadim Buseev,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Valerie Domergue,,,,32,Bantamweight,,1,3,0,0 - 0,0,0,0 - 0,0,0
Wagner Noronha,,,,,Flyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Bruno Silva,BRAZIL,,,28,Flyweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Renata Baldan,BRAZIL,,,,Strawweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Holly Cline,USA,,,37,Strawweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Daniela Kortmann,GERMANY,,,30,Strawweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Daizy Singh,INDIA,,,,Strawweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Maria Elisabete Tavares,BRAZIL,,,36,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Fard Muhammad,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Adailton Pereira,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
