,fighter,country,age,weightClass,wins,loses,draws,tko wins,tko lose,subs win,subs lose,total
0,Pete Spratt,USA,47.0,Lightweight,12,18,0,5,1,5,14,30
4,Vincent Latoel,NETHERLANDS,39.0,Featherweight,16,18,2,7,3,7,14,36
5,Johnny Bedford,USA,35.0,Bantamweight,23,13,1,10,2,9,11,37
7,Joshua Burkman,USA,37.0,Welterweight,28,17,0,7,2,10,9,45
9,Pedro Rizzo,BRAZIL,44.0,Heavyweight,13,11,0,10,7,0,0,24
11,Mai Ichii,JAPAN,38.0,Strawweight,0,2,0,0,0,0,0,2
14,Kyoko Takabayashi,JAPAN,37.0,Strawweight,1,2,1,0,0,0,0,4
20,Bruno Silva,BRAZIL,28.0,Flyweight,0,0,0,0,0,0,0,0
22,Holly Cline,USA,37.0,Strawweight,1,0,0,0,0,0,0,1
23,Daniela Kortmann,GERMANY,30.0,Strawweight,1,0,0,0,0,0,0,1
25,Maria Elisabete Tavares,BRAZIL,36.0,Bantamweight,0,1,0,0,0,0,0,1
28,Daiki Takashima,JAPAN,35.0,Bantamweight,1,0,0,0,0,0,0,1
32,Ippo Watanuki,JAPAN,37.0,Lightweight,1,0,0,0,0,0,0,1
34,Anne Karoline Nascimento,BRAZIL,25.0,Strawweight,0,1,0,0,0,0,0,1
43,Masaomi Saito,JAPAN,34.0,Featherweight,0,1,0,0,0,0,0,1
53,Vanessa Melo,BRAZIL,30.0,Flyweight,1,2,0,0,0,0,0,3
54,Erica Montoya,USA,33.0,Flyweight,0,1,0,0,0,0,0,1
57,Mitsuo Matsumoto,JAPAN,46.0,"5'5"", Lightweight",0,1,0,0,0,0,0,1
60,Kalyn Schwartz,USA,29.0,Strawweight,0,0,0,0,0,0,0,0
61,Heqin Lin,CHINA,24.0,Strawweight,0,1,0,0,0,0,0,1
63,Andrew Connors,USA,28.0,Bantamweight,0,1,0,0,0,0,0,1
65,Adriano Moreira Goncalves de Queiroz,BRAZIL,36.0,Bantamweight,0,0,1,0,0,0,0,1
69,Kensaku Nakamura,JAPAN,34.0,Bantamweight,1,0,1,0,0,0,0,2
74,Masatoshi Kobayashi,JAPAN,40.0,Featherweight,0,2,0,0,0,0,0,2
76,Hidekazu Asakura,JAPAN,49.0,Featherweight,0,1,0,0,0,0,0,1
89,Vladislav Nikitchenko,RUSSIA,31.0,Flyweight,0,1,0,0,0,0,0,1
92,Tatsuya Watanabe,JAPAN,30.0,Flyweight,0,1,0,0,0,0,0,1
97,Bec Rawlings,AUSTRALIA,29.0,Strawweight,0,0,0,0,0,0,0,0
98,Ron Scolesdang,USA,32.0,Bantamweight,1,1,0,0,0,0,0,2
99,Robert Aguirre,USA,28.0,Bantamweight,2,0,0,0,0,0,0,2
102,James Cianci,USA,32.0,Bantamweight,0,1,0,0,0,0,0,1
104,Diego Davella,BRAZIL,30.0,Bantamweight,1,1,0,0,0,0,0,2
107,Cody Garbrandt,USA,26.0,Bantamweight,0,0,0,0,0,0,0,0
108,Renato Higen Carriel,BRAZIL,30.0,Bantamweight,0,2,0,0,0,0,0,2
109,Tomohiko Hori,JAPAN,36.0,Bantamweight,0,2,0,0,0,0,0,2
112,Fumiya Sasaki,JAPAN,33.0,Bantamweight,0,2,0,0,0,0,0,2
113,Naohiro Takaoka,JAPAN,31.0,Bantamweight,0,1,0,0,0,0,0,1
115,Kensuke Nakamura,JAPAN,36.0,Featherweight,0,0,1,0,0,0,0,1
118,William Calhoun III,USA,25.0,Featherweight,0,2,0,0,0,0,0,2
124,James Polodna,AUSTRALIA,34.0,Featherweight,0,1,0,0,0,0,0,1
126,Masakazu Takafuji,JAPAN,33.0,Featherweight,0,1,0,0,0,0,0,1
129,Paulo Roberto Nogueira da Silva Junior,BRAZIL,40.0,Lightweight,0,1,1,0,0,0,0,2
130,Jorge Rodrigues Silva,BRAZIL,41.0,Lightweight,0,3,0,0,0,0,0,3
135,Igor Soares,BRAZIL,36.0,Lightweight,0,1,0,0,0,0,0,1
136,Hiroki Nagaoka,JAPAN,38.0,Welterweight,1,4,1,0,0,0,0,6
137,Andre Ricardo dos Santos Goncalves,BRAZIL,39.0,Welterweight,1,2,0,0,0,0,0,3
138,Shiko Yamashita,JAPAN,44.0,Welterweight,0,1,0,0,0,0,0,1
141,Mitchell Chamale,USA,33.0,Bantamweight,0,1,0,0,0,0,0,1
142,Masato Sannai,JAPAN,36.0,Bantamweight,0,1,0,0,0,0,0,1
